sample,lbl
HG00096,1
HG00097,1
HG00099,1
HG00100,0
HG00101,1
HG00102,1
HG00103,0
HG00105,0
HG00106,1
HG00107,1
HG00108,0
HG00109,0
HG00110,1
HG00111,0
HG00112,0
HG00113,1
HG00114,0
HG00115,0
HG00116,0
HG00117,1
HG00118,0
HG00119,1
HG00120,1
HG00121,0
HG00122,1
HG00123,1
HG00125,0
HG00126,1
HG00127,0
HG00128,0
HG00129,0
HG00130,1
HG00131,1
HG00132,0
HG00133,0
HG00136,0
HG00137,1
HG00138,0
HG00139,1
HG00140,1
HG00141,0
HG00142,0
HG00143,0
HG00145,0
HG00146,1
HG00148,0
HG00149,1
HG00150,1
HG00151,1
HG00154,0
HG00155,0
HG00157,1
HG00158,0
HG00159,1
HG00160,1
HG00171,0
HG00173,0
HG00174,1
HG00176,1
HG00177,1
HG00178,1
HG00179,0
HG00180,1
HG00181,0
HG00182,1
HG00183,1
HG00185,1
HG00186,1
HG00187,0
HG00188,1
HG00189,0
HG00190,0
HG00231,1
HG00232,1
HG00233,0
HG00234,1
HG00235,0
HG00236,0
HG00237,0
HG00238,0
HG00239,0
HG00240,1
HG00242,1
HG00243,0
HG00244,0
HG00245,0
HG00246,1
HG00250,1
HG00251,0
HG00252,1
HG00253,1
HG00254,0
HG00255,0
HG00256,1
HG00257,0
HG00258,1
HG00259,1
HG00260,1
HG00261,0
HG00262,1
HG00263,0
HG00264,0
HG00265,0
HG00266,1
HG00267,0
HG00268,1
HG00269,0
HG00271,0
HG00272,1
HG00273,1
HG00274,0
HG00275,1
HG00276,1
HG00277,0
HG00278,1
HG00280,1
HG00281,0
HG00282,0
HG00284,1
HG00285,1
HG00288,0
HG00290,1
HG00304,0
HG00306,1
HG00308,1
HG00309,0
HG00310,0
HG00311,0
HG00313,1
HG00315,0
HG00318,1
HG00319,0
HG00320,1
HG00321,0
HG00323,0
HG00324,0
HG00325,0
HG00326,1
HG00327,0
HG00328,0
HG00329,0
HG00330,0
HG00331,1
HG00332,1
HG00334,1
HG00335,0
HG00336,1
HG00337,0
HG00338,0
HG00339,1
HG00341,0
HG00342,1
HG00343,0
HG00344,0
HG00345,0
HG00346,0
HG00349,0
HG00350,1
HG00351,1
HG00353,0
HG00355,0
HG00356,1
HG00357,0
HG00358,1
HG00360,0
HG00361,0
HG00362,0
HG00364,0
HG00365,0
HG00366,1
HG00367,1
HG00368,1
HG00369,0
HG00371,1
HG00372,1
HG00373,1
HG00375,1
HG00376,0
HG00378,1
HG00379,1
HG00380,1
HG00381,1
HG00382,0
HG00383,0
HG00384,1
HG00403,1
HG00404,0
HG00406,0
HG00407,0
HG00409,0
HG00410,0
HG00419,0
HG00421,1
HG00422,0
HG00428,0
HG00436,0
HG00437,1
HG00442,0
HG00443,1
HG00445,1
HG00446,1
HG00448,1
HG00449,0
HG00451,0
HG00452,1
HG00457,0
HG00458,0
HG00463,1
HG00464,1
HG00472,0
HG00473,1
HG00475,1
HG00476,0
HG00478,1
HG00479,1
HG00500,1
HG00513,0
HG00524,0
HG00525,0
HG00530,0
HG00531,1
HG00533,0
HG00534,0
HG00536,0
HG00537,1
HG00542,0
HG00543,0
HG00551,0
HG00553,1
HG00554,0
HG00556,0
HG00557,1
HG00559,0
HG00560,0
HG00565,0
HG00566,1
HG00580,1
HG00581,0
HG00583,1
HG00584,0
HG00589,1
HG00590,0
HG00592,0
HG00593,0
HG00595,1
HG00596,1
HG00598,1
HG00599,0
HG00607,1
HG00608,0
HG00610,0
HG00611,1
HG00613,0
HG00614,0
HG00619,1
HG00620,1
HG00622,1
HG00623,1
HG00625,1
HG00626,0
HG00628,1
HG00629,1
HG00631,0
HG00632,0
HG00634,0
HG00637,0
HG00638,0
HG00640,1
HG00641,1
HG00650,0
HG00651,1
HG00653,1
HG00654,0
HG00656,0
HG00657,1
HG00662,0
HG00663,0
HG00671,1
HG00672,1
HG00674,0
HG00675,1
HG00683,0
HG00684,0
HG00689,0
HG00690,1
HG00692,1
HG00693,1
HG00698,0
HG00699,0
HG00701,1
HG00704,1
HG00705,0
HG00707,0
HG00708,1
HG00717,1
HG00728,1
HG00729,1
HG00731,1
HG00732,1
HG00734,1
HG00736,0
HG00737,0
HG00739,1
HG00740,1
HG00742,1
HG00743,1
HG00759,1
HG00766,0
HG00844,0
HG00851,0
HG00864,1
HG00867,0
HG00879,1
HG00881,1
HG00956,1
HG00978,0
HG00982,1
HG01028,1
HG01029,0
HG01031,0
HG01046,0
HG01047,1
HG01048,1
HG01049,1
HG01051,0
HG01052,1
HG01054,1
HG01055,1
HG01058,1
HG01060,0
HG01061,0
HG01063,1
HG01064,1
HG01066,0
HG01067,1
HG01069,1
HG01070,0
HG01072,0
HG01073,1
HG01075,0
HG01077,0
HG01079,0
HG01080,1
HG01082,0
HG01083,0
HG01085,1
HG01086,1
HG01088,0
HG01089,1
HG01092,0
HG01094,0
HG01095,1
HG01097,0
HG01098,0
HG01101,0
HG01102,1
HG01104,0
HG01105,0
HG01107,1
HG01108,0
HG01110,1
HG01111,0
HG01112,1
HG01113,1
HG01119,1
HG01121,1
HG01122,1
HG01124,1
HG01125,1
HG01130,1
HG01131,1
HG01133,1
HG01134,1
HG01136,1
HG01137,1
HG01139,1
HG01140,1
HG01142,0
HG01148,1
HG01149,0
HG01161,1
HG01162,0
HG01164,0
HG01167,1
HG01168,0
HG01170,0
HG01171,0
HG01173,1
HG01174,0
HG01176,0
HG01177,0
HG01182,0
HG01183,0
HG01187,1
HG01188,0
HG01190,0
HG01191,0
HG01197,1
HG01198,1
HG01200,0
HG01204,0
HG01205,0
HG01241,0
HG01242,1
HG01247,0
HG01248,1
HG01250,0
HG01251,0
HG01253,0
HG01254,1
HG01256,0
HG01257,1
HG01259,1
HG01260,1
HG01269,1
HG01271,0
HG01272,1
HG01275,1
HG01277,0
HG01280,0
HG01281,1
HG01284,1
HG01286,0
HG01302,1
HG01303,1
HG01305,0
HG01308,0
HG01311,1
HG01312,0
HG01323,1
HG01325,0
HG01326,0
HG01334,0
HG01341,1
HG01342,1
HG01344,1
HG01345,1
HG01348,1
HG01350,1
HG01351,0
HG01353,1
HG01354,0
HG01356,0
HG01357,0
HG01359,1
HG01360,1
HG01362,0
HG01363,0
HG01365,0
HG01366,1
HG01369,0
HG01372,0
HG01374,1
HG01375,1
HG01377,0
HG01378,0
HG01383,1
HG01384,0
HG01389,0
HG01390,1
HG01392,1
HG01393,0
HG01395,0
HG01396,1
HG01398,1
HG01402,0
HG01403,0
HG01405,0
HG01412,0
HG01413,1
HG01414,1
HG01431,1
HG01432,1
HG01435,0
HG01437,1
HG01438,1
HG01440,0
HG01441,0
HG01443,1
HG01444,0
HG01447,0
HG01455,0
HG01456,0
HG01459,1
HG01461,0
HG01462,1
HG01464,1
HG01465,1
HG01468,1
HG01474,0
HG01479,0
HG01485,0
HG01486,0
HG01488,0
HG01489,1
HG01491,1
HG01492,0
HG01494,1
HG01495,0
HG01497,0
HG01498,0
HG01500,0
HG01501,1
HG01503,1
HG01504,0
HG01506,0
HG01507,1
HG01509,1
HG01510,1
HG01512,1
HG01513,0
HG01515,1
HG01516,1
HG01518,0
HG01519,0
HG01521,1
HG01522,1
HG01524,1
HG01525,0
HG01527,1
HG01528,0
HG01530,0
HG01531,1
HG01536,1
HG01537,1
HG01550,1
HG01551,0
HG01556,0
HG01565,1
HG01566,0
HG01571,1
HG01572,0
HG01577,0
HG01578,1
HG01583,0
HG01586,1
HG01589,1
HG01593,1
HG01595,0
HG01596,0
HG01597,0
HG01598,1
HG01599,0
HG01600,0
HG01602,1
HG01603,1
HG01605,1
HG01606,0
HG01607,1
HG01608,0
HG01610,0
HG01612,1
HG01613,0
HG01615,0
HG01617,0
HG01618,0
HG01619,1
HG01620,0
HG01623,0
HG01624,1
HG01625,1
HG01626,1
HG01628,0
HG01630,0
HG01631,0
HG01632,0
HG01668,1
HG01669,0
HG01670,0
HG01672,0
HG01673,0
HG01675,0
HG01676,0
HG01678,1
HG01679,1
HG01680,1
HG01682,0
HG01684,1
HG01685,1
HG01686,1
HG01694,0
HG01695,0
HG01697,0
HG01699,1
HG01700,1
HG01702,1
HG01704,0
HG01705,0
HG01707,0
HG01708,1
HG01709,0
HG01710,1
HG01746,0
HG01747,0
HG01756,1
HG01757,0
HG01761,0
HG01762,1
HG01765,0
HG01766,1
HG01767,0
HG01768,0
HG01770,1
HG01771,0
HG01773,0
HG01775,0
HG01776,1
HG01777,0
HG01779,1
HG01781,0
HG01783,1
HG01784,1
HG01785,0
HG01786,1
HG01789,0
HG01790,0
HG01791,1
HG01794,0
HG01795,1
HG01796,0
HG01797,1
HG01798,0
HG01799,1
HG01800,0
HG01801,0
HG01802,1
HG01804,0
