sample,lbl
HG00096,0
HG00097,0
HG00099,0
HG00100,0
HG00101,1
HG00102,0
HG00103,0
HG00105,0
HG00106,1
HG00107,0
HG00108,0
HG00109,0
HG00110,1
HG00111,0
HG00112,1
HG00113,0
HG00114,1
HG00115,0
HG00116,1
HG00117,1
HG00118,1
HG00119,1
HG00120,1
HG00121,0
HG00122,0
HG00123,1
HG00125,1
HG00126,0
HG00127,0
HG00128,0
HG00129,0
HG00130,1
HG00131,0
HG00132,0
HG00133,1
HG00136,1
HG00137,0
HG00138,1
HG00139,0
HG00140,1
HG00141,0
HG00142,0
HG00143,1
HG00145,1
HG00146,1
HG00148,1
HG00149,0
HG00150,1
HG00151,0
HG00154,0
HG00155,0
HG00157,1
HG00158,1
HG00159,1
HG00160,1
HG00171,0
HG00173,0
HG00174,1
HG00176,1
HG00177,0
HG00178,1
HG00179,0
HG00180,1
HG00181,1
HG00182,0
HG00183,0
HG00185,1
HG00186,0
HG00187,0
HG00188,1
HG00189,0
HG00190,0
HG00231,0
HG00232,0
HG00233,1
HG00234,1
HG00235,1
HG00236,0
HG00237,0
HG00238,1
HG00239,0
HG00240,1
HG00242,0
HG00243,0
HG00244,1
HG00245,0
HG00246,0
HG00250,0
HG00251,1
HG00252,0
HG00253,0
HG00254,0
HG00255,0
HG00256,0
HG00257,1
HG00258,1
HG00259,1
HG00260,0
HG00261,1
HG00262,1
HG00263,1
HG00264,1
HG00265,1
HG00266,1
HG00267,0
HG00268,1
HG00269,0
HG00271,1
HG00272,0
HG00273,0
HG00274,1
HG00275,1
HG00276,0
HG00277,1
HG00278,0
HG00280,1
HG00281,1
HG00282,0
HG00284,1
HG00285,0
HG00288,0
HG00290,1
HG00304,0
HG00306,0
HG00308,0
HG00309,0
HG00310,0
HG00311,1
HG00313,0
HG00315,1
HG00318,1
HG00319,0
HG00320,1
HG00321,0
HG00323,0
HG00324,1
HG00325,0
HG00326,1
HG00327,0
HG00328,0
HG00329,1
HG00330,1
HG00331,1
HG00332,0
HG00334,1
HG00335,0
HG00336,0
HG00337,0
HG00338,1
HG00339,0
HG00341,1
HG00342,1
HG00343,1
HG00344,0
HG00345,1
HG00346,0
HG00349,0
HG00350,0
HG00351,1
HG00353,0
HG00355,1
HG00356,0
HG00357,1
HG00358,1
HG00360,1
HG00361,0
HG00362,0
HG00364,0
HG00365,1
HG00366,0
HG00367,1
HG00368,0
HG00369,0
HG00371,1
HG00372,0
HG00373,0
HG00375,1
HG00376,1
HG00378,0
