sample,lbl
HG00096,1
HG00097,0
HG00099,0
HG00100,0
HG00101,1
HG00102,0
HG00103,1
HG00105,1
HG00106,0
HG00107,0
HG00108,0
HG00109,0
HG00110,0
HG00111,1
HG00112,0
HG00113,0
HG00114,1
HG00115,0
HG00116,0
HG00117,0
HG00118,0
HG00119,0
HG00120,0
HG00121,0
HG00122,0
HG00123,0
HG00125,1
HG00126,0
HG00127,1
HG00128,1
HG00129,0
HG00130,0
HG00131,1
HG00132,1
HG00133,0
HG00136,0
HG00137,0
HG00138,1
HG00139,0
HG00140,0
HG00141,0
HG00142,1
HG00143,1
HG00145,0
HG00146,0
HG00148,1
HG00149,0
HG00150,0
HG00151,0
HG00154,1
HG00155,0
HG00157,1
HG00158,1
HG00159,0
HG00160,1
HG00171,0
HG00173,1
HG00174,0
HG00176,0
HG00177,0
HG00178,0
HG00179,1
HG00180,0
HG00181,0
HG00182,0
HG00183,0
HG00185,0
HG00186,0
HG00187,0
HG00188,0
HG00189,0
HG00190,1
HG00231,1
HG00232,1
HG00233,0
HG00234,0
HG00235,0
HG00236,1
HG00237,0
HG00238,0
HG00239,0
HG00240,0
HG00242,0
HG00243,1
HG00244,1
HG00245,0
HG00246,0
HG00250,1
HG00251,0
HG00252,0
HG00253,1
HG00254,1
HG00255,1
HG00256,0
HG00257,1
HG00258,1
HG00259,1
HG00260,0
HG00261,0
HG00262,0
HG00263,1
HG00264,0
HG00265,1
HG00266,1
HG00267,0
HG00268,0
HG00269,0
HG00271,0
HG00272,0
HG00273,0
HG00274,0
HG00275,0
HG00276,0
HG00277,0
HG00278,0
HG00280,1
HG00281,0
HG00282,0
HG00284,0
HG00285,0
HG00288,0
HG00290,0
HG00304,1
HG00306,1
HG00308,0
HG00309,0
HG00310,0
HG00311,0
HG00313,1
HG00315,0
HG00318,0
HG00319,1
HG00320,0
HG00321,1
HG00323,0
HG00324,1
HG00325,1
HG00326,1
HG00327,0
HG00328,1
HG00329,1
HG00330,0
HG00331,0
HG00332,1
HG00334,0
HG00335,0
HG00336,0
HG00337,0
HG00338,1
HG00339,0
HG00341,0
HG00342,0
HG00343,0
HG00344,1
HG00345,1
HG00346,1
HG00349,0
HG00350,1
HG00351,0
HG00353,0
HG00355,0
HG00356,0
HG00357,0
HG00358,0
HG00360,0
HG00361,0
HG00362,1
HG00364,1
HG00365,0
HG00366,0
HG00367,1
HG00368,1
HG00369,0
HG00371,1
HG00372,1
HG00373,0
HG00375,0
HG00376,0
HG00378,0
HG00379,1
HG00380,0
HG00381,0
HG00382,1
HG00383,0
HG00384,0
HG00403,1
HG00404,0
HG00406,0
HG00407,0
HG00409,0
HG00410,1
HG00419,1
HG00421,1
HG00422,0
HG00428,0
HG00436,1
HG00437,0
HG00442,0
HG00443,1
HG00445,1
HG00446,1
HG00448,1
HG00449,1
HG00451,0
HG00452,1
HG00457,0
HG00458,1
HG00463,1
HG00464,0
HG00472,0
HG00473,1
HG00475,0
HG00476,1
HG00478,1
HG00479,0
HG00500,0
HG00513,0
HG00524,0
HG00525,1
HG00530,0
HG00531,1
HG00533,1
HG00534,0
HG00536,1
HG00537,1
HG00542,1
HG00543,0
HG00551,0
HG00553,0
HG00554,0
HG00556,1
HG00557,0
HG00559,1
HG00560,0
HG00565,0
HG00566,1
HG00580,0
HG00581,1
HG00583,0
HG00584,1
HG00589,1
HG00590,1
HG00592,0
HG00593,0
HG00595,0
HG00596,0
HG00598,1
HG00599,1
HG00607,0
HG00608,1
HG00610,0
HG00611,0
HG00613,0
HG00614,1
HG00619,1
HG00620,0
HG00622,0
HG00623,0
HG00625,1
HG00626,1
HG00628,1
HG00629,1
HG00631,1
HG00632,1
HG00634,1
HG00637,1
HG00638,0
HG00640,0
HG00641,0
HG00650,0
HG00651,1
HG00653,0
HG00654,1
HG00656,0
HG00657,0
HG00662,0
HG00663,1
HG00671,0
HG00672,0
HG00674,1
HG00675,1
HG00683,0
HG00684,0
HG00689,0
HG00690,0
HG00692,0
HG00693,0
HG00698,1
HG00699,1
HG00701,0
HG00704,0
HG00705,1
HG00707,1
HG00708,1
HG00717,1
HG00728,0
HG00729,0
HG00731,0
HG00732,1
HG00734,0
HG00736,0
HG00737,1
HG00739,0
HG00740,1
HG00742,1
HG00743,0
HG00759,1
HG00766,1
HG00844,0
HG00851,1
HG00864,1
HG00867,0
HG00879,0
HG00881,1
HG00956,0
HG00978,1
HG00982,1
HG01028,1
HG01029,1
HG01031,0
HG01046,0
HG01047,0
HG01048,1
HG01049,1
HG01051,0
HG01052,0
HG01054,0
HG01055,0
HG01058,0
HG01060,0
HG01061,0
HG01063,0
HG01064,1
HG01066,1
HG01067,1
HG01069,0
HG01070,0
HG01072,1
HG01073,0
HG01075,1
HG01077,0
HG01079,1
HG01080,0
HG01082,1
HG01083,0
HG01085,0
HG01086,0
HG01088,0
HG01089,0
HG01092,1
HG01094,0
HG01095,1
HG01097,1
HG01098,1
HG01101,1
HG01102,0
HG01104,0
HG01105,0
HG01107,0
HG01108,1
HG01110,1
HG01111,1
HG01112,0
HG01113,1
HG01119,0
HG01121,0
HG01122,1
HG01124,1
HG01125,0
HG01130,0
HG01131,0
HG01133,0
HG01134,1
HG01136,1
HG01137,0
HG01139,0
HG01140,1
HG01142,1
HG01148,0
HG01149,1
HG01161,1
HG01162,0
HG01164,0
HG01167,1
HG01168,1
HG01170,0
HG01171,1
HG01173,1
HG01174,1
HG01176,0
HG01177,0
HG01182,1
HG01183,1
HG01187,0
HG01188,0
HG01190,0
HG01191,1
HG01197,1
HG01198,0
HG01200,0
HG01204,1
HG01205,0
HG01241,0
HG01242,0
HG01247,0
HG01248,0
HG01250,0
HG01251,1
HG01253,1
HG01254,0
HG01256,0
HG01257,1
HG01259,0
HG01260,1
HG01269,1
HG01271,0
HG01272,0
HG01275,1
HG01277,1
HG01280,1
HG01281,1
HG01284,1
HG01286,1
HG01302,0
HG01303,0
HG01305,0
HG01308,0
HG01311,1
HG01312,1
HG01323,1
HG01325,0
HG01326,0
HG01334,0
HG01341,0
HG01342,1
HG01344,0
HG01345,0
HG01348,0
HG01350,1
HG01351,1
HG01353,0
HG01354,0
HG01356,0
HG01357,1
HG01359,1
HG01360,1
HG01362,1
HG01363,0
HG01365,1
HG01366,1
HG01369,0
HG01372,0
HG01374,0
HG01375,0
HG01377,1
HG01378,0
HG01383,0
HG01384,1
HG01389,0
HG01390,0
HG01392,0
HG01393,1
HG01395,0
HG01396,1
HG01398,0
HG01402,1
HG01403,0
HG01405,1
HG01412,1
HG01413,1
HG01414,1
HG01431,1
HG01432,1
HG01435,1
HG01437,0
HG01438,1
HG01440,0
HG01441,1
HG01443,1
HG01444,0
HG01447,0
HG01455,0
HG01456,1
HG01459,1
HG01461,0
HG01462,0
HG01464,0
HG01465,1
HG01468,0
HG01474,0
HG01479,0
HG01485,0
HG01486,0
HG01488,0
HG01489,0
HG01491,1
HG01492,0
HG01494,1
HG01495,0
HG01497,1
HG01498,0
HG01500,0
HG01501,0
HG01503,1
HG01504,1
HG01506,1
HG01507,1
HG01509,0
HG01510,1
HG01512,0
HG01513,0
HG01515,0
HG01516,0
HG01518,0
HG01519,0
HG01521,1
HG01522,0
HG01524,1
HG01525,1
HG01527,0
HG01528,0
HG01530,0
HG01531,1
HG01536,1
HG01537,0
HG01550,0
HG01551,1
HG01556,0
HG01565,1
HG01566,0
HG01571,0
HG01572,0
HG01577,0
HG01578,0
HG01583,0
HG01586,0
HG01589,0
HG01593,0
HG01595,1
HG01596,0
HG01597,0
HG01598,0
HG01599,1
HG01600,1
HG01602,0
HG01603,1
HG01605,0
HG01606,1
HG01607,1
HG01608,1
HG01610,0
HG01612,1
HG01613,1
HG01615,0
HG01617,1
HG01618,1
HG01619,1
HG01620,0
HG01623,0
HG01624,1
HG01625,0
HG01626,0
HG01628,0
HG01630,1
HG01631,0
HG01632,1
HG01668,1
HG01669,0
HG01670,1
HG01672,0
HG01673,0
HG01675,1
HG01676,0
HG01678,1
HG01679,1
HG01680,1
HG01682,0
HG01684,1
HG01685,1
HG01686,1
HG01694,0
HG01695,1
HG01697,1
HG01699,1
HG01700,0
HG01702,1
HG01704,0
HG01705,0
HG01707,1
HG01708,0
HG01709,0
HG01710,1
HG01746,0
HG01747,0
HG01756,1
HG01757,0
HG01761,1
HG01762,0
HG01765,0
HG01766,0
HG01767,0
HG01768,1
HG01770,0
HG01771,0
HG01773,1
HG01775,0
HG01776,1
HG01777,1
HG01779,0
HG01781,0
HG01783,0
HG01784,0
HG01785,0
HG01786,1
HG01789,0
HG01790,0
HG01791,0
HG01794,1
HG01795,1
HG01796,1
HG01797,1
HG01798,1
HG01799,1
HG01800,1
HG01801,1
HG01802,0
HG01804,0
HG01805,1
HG01806,0
HG01807,1
HG01808,0
HG01809,1
HG01810,0
HG01811,0
HG01812,1
HG01813,0
HG01815,0
HG01816,0
HG01817,1
HG01840,1
HG01841,0
HG01842,1
HG01843,1
HG01844,1
HG01845,0
HG01846,0
HG01847,0
HG01848,1
HG01849,0
HG01850,0
HG01851,1
HG01852,0
HG01853,1
HG01855,1
HG01857,0
HG01858,0
HG01859,0
HG01860,0
HG01861,1
HG01862,0
HG01863,0
HG01864,0
HG01865,1
HG01866,0
HG01867,1
HG01868,1
HG01869,0
HG01870,1
HG01871,1
HG01872,0
HG01873,1
HG01874,0
HG01878,1
HG01879,1
HG01880,0
HG01882,0
HG01883,1
HG01885,0
HG01886,1
HG01889,0
HG01890,0
HG01892,1
HG01893,0
HG01894,0
HG01896,0
HG01912,1
HG01914,1
HG01915,1
HG01917,0
HG01918,0
HG01920,0
HG01921,0
HG01923,1
HG01924,0
HG01926,0
HG01927,0
HG01932,1
HG01933,0
HG01935,1
HG01936,1
HG01938,0
HG01939,1
HG01941,0
HG01942,0
HG01944,1
HG01945,1
HG01947,0
HG01948,1
HG01950,0
HG01951,0
HG01953,0
HG01954,1
HG01956,0
HG01958,1
HG01961,0
HG01965,1
HG01967,0
HG01968,0
HG01970,0
HG01971,0
HG01973,0
HG01974,0
HG01976,0
HG01977,1
HG01979,0
HG01980,0
HG01982,1
HG01985,0
HG01986,0
HG01988,0
HG01989,1
HG01990,0
HG01991,1
HG01992,1
HG01997,0
HG02002,0
HG02003,1
HG02006,1
HG02008,0
HG02009,0
HG02010,0
HG02012,0
HG02013,0
HG02014,1
HG02016,1
HG02017,1
HG02019,0
HG02020,1
HG02023,0
HG02025,1
HG02026,0
HG02028,0
HG02029,1
HG02031,1
HG02032,0
HG02035,0
HG02040,0
HG02047,0
HG02048,1
HG02049,0
HG02050,0
HG02051,1
HG02052,1
HG02053,0
HG02054,0
HG02057,1
HG02058,1
HG02060,1
HG02061,0
HG02064,0
HG02067,1
HG02069,0
HG02070,1
HG02072,1
HG02073,1
HG02075,0
HG02076,0
HG02078,1
HG02079,0
HG02081,1
HG02082,0
HG02084,0
HG02085,0
HG02086,1
HG02087,1
HG02088,1
HG02089,0
HG02090,1
HG02095,0
HG02102,0
HG02104,0
HG02105,0
HG02107,1
HG02108,0
HG02111,0
HG02113,0
HG02116,0
HG02121,1
HG02122,1
HG02127,0
HG02128,1
HG02130,1
HG02131,1
HG02133,0
HG02134,1
HG02136,0
HG02137,1
HG02138,0
HG02139,0
HG02140,1
HG02141,0
HG02142,0
HG02143,0
HG02144,1
HG02146,0
HG02147,1
HG02150,1
HG02151,0
HG02152,1
HG02153,0
HG02154,0
HG02155,1
HG02156,1
HG02164,1
HG02165,1
HG02166,1
HG02178,1
HG02179,0
HG02180,0
HG02181,0
HG02182,1
HG02184,0
HG02185,1
HG02186,0
HG02187,0
HG02188,1
HG02190,1
HG02215,1
HG02219,1
HG02220,0
HG02221,0
HG02223,0
HG02224,1
HG02230,0
HG02231,1
HG02232,0
HG02233,0
HG02235,1
HG02236,0
HG02238,0
HG02239,0
HG02250,0
HG02252,1
HG02253,1
HG02255,0
HG02256,1
HG02259,1
HG02260,0
HG02262,0
HG02265,1
HG02266,0
HG02271,0
HG02272,1
HG02274,0
HG02275,1
HG02277,0
HG02278,1
HG02281,0
HG02282,1
HG02283,1
HG02284,1
HG02285,0
HG02286,1
HG02291,0
HG02292,0
HG02298,1
HG02299,0
HG02301,1
HG02304,0
HG02307,1
HG02308,0
HG02309,0
HG02312,1
HG02314,0
HG02315,0
HG02317,1
HG02318,0
HG02322,1
HG02323,0
HG02325,1
HG02330,0
HG02332,0
HG02334,0
HG02337,0
HG02339,0
HG02343,1
HG02345,0
HG02348,0
HG02351,0
HG02353,1
HG02355,0
HG02356,0
HG02360,0
HG02364,0
HG02367,1
HG02371,1
HG02373,1
HG02374,0
HG02375,1
HG02379,1
HG02380,0
HG02382,1
HG02383,1
HG02384,0
HG02385,0
HG02386,0
HG02389,1
HG02390,1
HG02391,0
HG02392,1
HG02394,0
HG02395,0
HG02396,0
HG02397,0
HG02398,1
HG02399,1
HG02401,0
HG02402,0
HG02406,0
HG02407,0
HG02408,0
HG02409,1
HG02410,1
HG02419,0
HG02420,1
HG02425,0
HG02427,1
HG02429,0
HG02433,0
HG02439,0
HG02442,0
HG02445,0
HG02449,1
HG02450,1
HG02455,1
HG02461,0
HG02462,1
HG02464,1
HG02465,0
HG02470,1
HG02471,0
HG02476,0
HG02477,0
HG02479,0
HG02481,1
HG02484,0
HG02485,1
HG02489,1
HG02490,0
HG02491,0
HG02493,0
HG02494,1
HG02496,1
HG02497,1
HG02501,0
HG02502,0
HG02505,0
HG02508,0
HG02511,0
HG02512,0
HG02513,0
