sample,lbl
HG00096,1
HG00097,1
HG00099,1
HG00100,1
HG00101,1
HG00102,0
HG00103,1
HG00105,0
HG00106,1
HG00107,1
HG00108,0
HG00109,1
HG00110,1
HG00111,0
HG00112,1
HG00113,1
HG00114,1
HG00115,0
HG00116,0
HG00117,1
HG00118,1
HG00119,0
HG00120,0
HG00121,0
HG00122,1
HG00123,1
HG00125,1
HG00126,0
HG00127,1
HG00128,1
HG00129,0
HG00130,0
HG00131,0
HG00132,0
HG00133,0
HG00136,0
HG00137,0
HG00138,1
HG00139,1
HG00140,1
HG00141,0
HG00142,0
HG00143,1
HG00145,0
HG00146,0
HG00148,0
HG00149,1
HG00150,0
HG00151,0
HG00154,1
HG00155,0
HG00157,1
HG00158,1
HG00159,0
HG00160,1
HG00171,0
HG00173,0
HG00174,0
HG00176,0
HG00177,0
HG00178,0
HG00179,1
HG00180,0
HG00181,0
HG00182,0
HG00183,0
HG00185,0
HG00186,1
HG00187,0
HG00188,1
HG00189,1
HG00190,1
HG00231,0
HG00232,1
HG00233,0
HG00234,1
HG00235,1
HG00236,1
HG00237,1
HG00238,0
HG00239,1
HG00240,1
HG00242,1
HG00243,0
HG00244,0
HG00245,1
HG00246,1
HG00250,1
HG00251,0
HG00252,1
HG00253,0
HG00254,0
HG00255,0
HG00256,1
HG00257,0
HG00258,1
HG00259,1
HG00260,0
HG00261,1
HG00262,0
HG00263,0
HG00264,1
HG00265,1
HG00266,1
HG00267,1
HG00268,0
HG00269,0
HG00271,0
HG00272,0
HG00273,0
HG00274,0
HG00275,1
HG00276,0
HG00277,1
HG00278,0
HG00280,1
HG00281,1
HG00282,1
HG00284,1
HG00285,1
HG00288,1
HG00290,1
HG00304,1
HG00306,1
HG00308,1
HG00309,0
HG00310,1
HG00311,0
HG00313,0
HG00315,1
HG00318,1
HG00319,1
HG00320,0
HG00321,1
HG00323,0
HG00324,0
HG00325,1
HG00326,0
HG00327,0
HG00328,1
HG00329,1
HG00330,1
HG00331,0
HG00332,0
HG00334,0
HG00335,1
HG00336,0
HG00337,1
HG00338,0
HG00339,1
HG00341,0
HG00342,1
HG00343,0
HG00344,0
HG00345,0
HG00346,1
HG00349,0
HG00350,1
HG00351,0
HG00353,0
HG00355,0
HG00356,0
HG00357,1
HG00358,0
HG00360,1
HG00361,0
HG00362,1
HG00364,0
HG00365,0
HG00366,1
HG00367,1
HG00368,1
HG00369,0
HG00371,1
HG00372,0
HG00373,1
HG00375,1
HG00376,1
HG00378,1
HG00379,1
HG00380,1
HG00381,1
HG00382,0
HG00383,0
HG00384,1
HG00403,1
HG00404,1
HG00406,0
HG00407,1
HG00409,0
HG00410,0
HG00419,0
HG00421,0
HG00422,0
HG00428,0
HG00436,0
HG00437,0
HG00442,0
HG00443,0
HG00445,0
HG00446,1
HG00448,0
HG00449,0
HG00451,1
HG00452,1
HG00457,1
HG00458,0
HG00463,0
HG00464,0
HG00472,1
HG00473,0
HG00475,0
HG00476,1
HG00478,0
HG00479,1
HG00500,0
HG00513,0
HG00524,0
HG00525,1
HG00530,1
HG00531,1
HG00533,1
HG00534,0
HG00536,0
HG00537,1
HG00542,1
HG00543,0
HG00551,1
HG00553,0
HG00554,0
HG00556,1
HG00557,1
HG00559,1
HG00560,0
HG00565,1
HG00566,0
HG00580,0
HG00581,1
HG00583,0
HG00584,1
HG00589,1
HG00590,0
HG00592,1
HG00593,1
HG00595,1
HG00596,1
HG00598,0
HG00599,1
HG00607,1
HG00608,0
HG00610,0
HG00611,1
HG00613,0
HG00614,1
HG00619,0
HG00620,0
HG00622,0
HG00623,0
HG00625,0
HG00626,0
HG00628,1
HG00629,0
HG00631,1
HG00632,0
HG00634,1
HG00637,0
HG00638,0
HG00640,0
HG00641,0
HG00650,1
HG00651,1
HG00653,1
HG00654,0
HG00656,0
HG00657,1
HG00662,0
HG00663,0
HG00671,0
HG00672,0
HG00674,1
HG00675,0
HG00683,1
HG00684,0
HG00689,1
HG00690,0
HG00692,1
HG00693,0
HG00698,0
HG00699,1
HG00701,1
HG00704,1
HG00705,0
HG00707,1
HG00708,1
HG00717,1
HG00728,1
HG00729,0
HG00731,0
HG00732,0
HG00734,0
HG00736,1
HG00737,1
HG00739,0
HG00740,1
HG00742,1
HG00743,0
HG00759,1
HG00766,1
HG00844,0
HG00851,1
HG00864,0
HG00867,0
HG00879,0
HG00881,0
HG00956,1
HG00978,0
HG00982,1
HG01028,0
HG01029,1
HG01031,1
HG01046,1
HG01047,1
HG01048,1
HG01049,0
HG01051,1
HG01052,1
HG01054,0
HG01055,1
HG01058,1
HG01060,0
HG01061,0
HG01063,1
HG01064,0
HG01066,1
HG01067,0
HG01069,0
HG01070,1
HG01072,1
HG01073,0
HG01075,1
HG01077,0
HG01079,0
HG01080,1
HG01082,1
HG01083,0
HG01085,0
HG01086,1
HG01088,0
HG01089,0
HG01092,1
HG01094,0
HG01095,0
HG01097,0
HG01098,1
HG01101,1
HG01102,0
HG01104,0
HG01105,1
HG01107,0
HG01108,0
HG01110,0
HG01111,0
HG01112,0
HG01113,0
HG01119,0
HG01121,1
HG01122,1
HG01124,0
HG01125,1
HG01130,0
HG01131,1
HG01133,1
HG01134,0
HG01136,0
HG01137,0
HG01139,0
HG01140,0
HG01142,1
HG01148,0
HG01149,0
HG01161,0
HG01162,1
HG01164,1
HG01167,1
HG01168,0
HG01170,0
HG01171,0
HG01173,1
HG01174,1
HG01176,1
HG01177,0
HG01182,0
HG01183,0
HG01187,0
HG01188,1
HG01190,1
HG01191,0
HG01197,0
HG01198,1
HG01200,0
HG01204,1
HG01205,1
HG01241,0
HG01242,0
HG01247,1
HG01248,1
HG01250,1
HG01251,1
HG01253,1
HG01254,0
HG01256,0
HG01257,1
HG01259,0
HG01260,1
HG01269,0
HG01271,1
HG01272,1
HG01275,0
HG01277,1
HG01280,1
HG01281,1
HG01284,0
HG01286,1
HG01302,1
HG01303,1
HG01305,0
HG01308,0
HG01311,1
HG01312,1
HG01323,0
HG01325,0
HG01326,1
HG01334,0
HG01341,1
HG01342,1
HG01344,0
HG01345,0
HG01348,1
HG01350,1
HG01351,1
HG01353,0
HG01354,1
HG01356,1
HG01357,1
HG01359,0
HG01360,1
HG01362,0
HG01363,0
HG01365,0
HG01366,0
HG01369,0
HG01372,0
HG01374,1
HG01375,1
HG01377,0
HG01378,0
HG01383,0
HG01384,1
HG01389,0
HG01390,0
HG01392,1
HG01393,1
HG01395,0
HG01396,0
HG01398,1
HG01402,0
HG01403,0
HG01405,0
HG01412,0
HG01413,1
HG01414,0
HG01431,1
HG01432,1
HG01435,0
HG01437,0
HG01438,0
HG01440,1
HG01441,0
HG01443,0
HG01444,1
HG01447,1
HG01455,0
HG01456,0
HG01459,1
HG01461,0
HG01462,1
HG01464,0
HG01465,1
HG01468,1
HG01474,1
HG01479,0
HG01485,0
HG01486,0
HG01488,1
HG01489,0
HG01491,0
HG01492,1
HG01494,0
HG01495,0
HG01497,0
HG01498,0
HG01500,0
HG01501,1
HG01503,0
HG01504,0
HG01506,1
HG01507,1
HG01509,1
HG01510,0
HG01512,1
HG01513,0
HG01515,0
HG01516,1
HG01518,1
HG01519,0
HG01521,0
HG01522,0
HG01524,0
HG01525,1
HG01527,0
HG01528,1
HG01530,0
HG01531,0
HG01536,0
HG01537,1
HG01550,0
HG01551,0
HG01556,0
HG01565,0
HG01566,0
HG01571,1
HG01572,1
HG01577,0
HG01578,0
HG01583,1
HG01586,1
HG01589,0
HG01593,0
HG01595,0
HG01596,0
HG01597,1
HG01598,0
HG01599,0
HG01600,1
HG01602,0
HG01603,0
HG01605,0
HG01606,0
HG01607,0
HG01608,0
HG01610,1
HG01612,1
HG01613,1
HG01615,1
HG01617,0
HG01618,1
HG01619,1
HG01620,0
HG01623,1
HG01624,0
HG01625,1
HG01626,0
HG01628,0
HG01630,1
HG01631,0
HG01632,0
HG01668,0
HG01669,0
HG01670,0
HG01672,0
HG01673,1
HG01675,1
HG01676,0
HG01678,1
HG01679,1
HG01680,0
HG01682,0
HG01684,0
HG01685,0
HG01686,0
HG01694,0
HG01695,1
HG01697,0
HG01699,1
HG01700,0
HG01702,0
HG01704,1
HG01705,0
HG01707,1
HG01708,0
HG01709,0
HG01710,1
HG01746,1
HG01747,0
HG01756,1
HG01757,0
HG01761,1
HG01762,1
HG01765,0
HG01766,0
HG01767,0
HG01768,0
HG01770,1
HG01771,0
HG01773,1
HG01775,0
HG01776,1
HG01777,1
HG01779,0
HG01781,0
HG01783,1
HG01784,1
HG01785,0
HG01786,0
HG01789,1
HG01790,1
HG01791,0
HG01794,1
HG01795,0
HG01796,1
HG01797,1
HG01798,1
HG01799,0
HG01800,1
HG01801,0
HG01802,0
HG01804,1
