sample,lbl
HG00096,1
HG00097,1
HG00099,1
HG00100,0
HG00101,0
HG00102,1
HG00103,1
HG00105,1
HG00106,1
HG00107,0
HG00108,1
HG00109,1
HG00110,1
HG00111,0
HG00112,0
HG00113,0
HG00114,0
HG00115,0
HG00116,1
HG00117,0
HG00118,1
HG00119,0
HG00120,1
HG00121,0
HG00122,0
HG00123,1
HG00125,1
HG00126,1
HG00127,0
HG00128,0
HG00129,1
HG00130,0
HG00131,1
HG00132,0
HG00133,1
HG00136,0
HG00137,1
HG00138,1
HG00139,1
HG00140,0
HG00141,0
HG00142,0
HG00143,1
HG00145,1
HG00146,1
HG00148,0
HG00149,0
HG00150,1
HG00151,1
HG00154,1
HG00155,1
HG00157,1
HG00158,0
HG00159,0
HG00160,1
HG00171,0
HG00173,0
HG00174,0
HG00176,0
HG00177,0
HG00178,0
HG00179,1
HG00180,1
HG00181,0
HG00182,0
HG00183,0
HG00185,1
HG00186,1
HG00187,0
HG00188,0
HG00189,0
HG00190,0
HG00231,0
HG00232,0
HG00233,1
HG00234,1
HG00235,0
HG00236,1
HG00237,1
HG00238,0
HG00239,1
HG00240,1
HG00242,1
HG00243,1
HG00244,1
HG00245,1
HG00246,1
HG00250,0
HG00251,0
HG00252,1
HG00253,1
HG00254,0
HG00255,0
HG00256,1
HG00257,0
HG00258,0
HG00259,0
HG00260,1
HG00261,1
HG00262,0
HG00263,0
HG00264,0
HG00265,1
HG00266,1
HG00267,0
HG00268,0
HG00269,1
HG00271,0
HG00272,1
HG00273,0
HG00274,1
HG00275,1
HG00276,1
HG00277,0
HG00278,1
HG00280,1
HG00281,0
HG00282,1
HG00284,0
HG00285,0
HG00288,1
HG00290,1
HG00304,1
HG00306,1
HG00308,1
HG00309,1
HG00310,0
HG00311,1
HG00313,1
HG00315,0
HG00318,1
HG00319,1
HG00320,1
HG00321,1
HG00323,1
HG00324,0
HG00325,0
HG00326,0
HG00327,0
HG00328,1
HG00329,1
HG00330,0
HG00331,0
HG00332,1
HG00334,0
HG00335,0
HG00336,0
HG00337,1
HG00338,1
HG00339,0
HG00341,1
HG00342,0
HG00343,1
HG00344,1
HG00345,0
HG00346,1
HG00349,0
HG00350,1
HG00351,0
HG00353,0
HG00355,1
HG00356,1
HG00357,0
HG00358,1
HG00360,1
HG00361,1
HG00362,1
HG00364,0
HG00365,0
HG00366,1
HG00367,1
HG00368,1
HG00369,1
HG00371,0
HG00372,1
HG00373,1
HG00375,1
HG00376,1
HG00378,1
HG00379,0
HG00380,0
HG00381,1
HG00382,0
HG00383,1
HG00384,1
HG00403,0
HG00404,0
HG00406,0
HG00407,0
HG00409,1
HG00410,1
HG00419,1
HG00421,0
HG00422,0
HG00428,0
HG00436,1
HG00437,1
HG00442,1
HG00443,0
HG00445,1
HG00446,1
HG00448,1
HG00449,0
HG00451,1
HG00452,0
HG00457,1
HG00458,1
HG00463,0
HG00464,1
HG00472,1
HG00473,0
HG00475,1
HG00476,1
HG00478,1
HG00479,0
HG00500,1
HG00513,0
HG00524,1
HG00525,0
HG00530,0
HG00531,1
HG00533,0
HG00534,1
HG00536,1
HG00537,0
HG00542,1
HG00543,1
HG00551,1
HG00553,1
HG00554,1
HG00556,0
HG00557,1
HG00559,0
HG00560,0
HG00565,0
HG00566,0
HG00580,0
HG00581,0
HG00583,0
HG00584,0
HG00589,1
HG00590,0
HG00592,0
HG00593,1
HG00595,1
HG00596,1
HG00598,1
HG00599,1
HG00607,0
HG00608,0
HG00610,0
HG00611,0
HG00613,0
HG00614,1
HG00619,1
HG00620,1
HG00622,1
HG00623,1
HG00625,1
HG00626,0
HG00628,0
HG00629,1
HG00631,0
HG00632,0
HG00634,0
HG00637,1
HG00638,1
HG00640,0
HG00641,0
HG00650,1
HG00651,1
HG00653,0
HG00654,1
HG00656,0
HG00657,1
HG00662,0
HG00663,1
HG00671,0
HG00672,1
HG00674,0
HG00675,1
HG00683,1
HG00684,0
HG00689,0
HG00690,1
HG00692,1
HG00693,0
HG00698,0
HG00699,0
HG00701,1
HG00704,1
HG00705,1
HG00707,1
HG00708,1
HG00717,1
HG00728,0
HG00729,0
HG00731,0
HG00732,0
HG00734,1
HG00736,1
HG00737,1
HG00739,0
HG00740,1
HG00742,0
HG00743,1
HG00759,0
HG00766,1
HG00844,1
HG00851,0
HG00864,0
HG00867,0
HG00879,0
HG00881,1
HG00956,0
HG00978,0
HG00982,1
HG01028,0
HG01029,0
HG01031,0
HG01046,1
HG01047,0
HG01048,0
HG01049,1
HG01051,0
HG01052,0
HG01054,1
HG01055,0
HG01058,0
HG01060,1
HG01061,0
HG01063,1
HG01064,1
HG01066,0
HG01067,0
HG01069,1
HG01070,1
HG01072,1
HG01073,1
HG01075,0
HG01077,0
HG01079,1
HG01080,0
HG01082,1
HG01083,1
HG01085,1
HG01086,0
HG01088,1
HG01089,0
HG01092,1
HG01094,1
HG01095,0
HG01097,0
HG01098,1
HG01101,0
HG01102,0
HG01104,0
HG01105,1
HG01107,0
HG01108,1
HG01110,1
HG01111,1
HG01112,1
HG01113,0
HG01119,1
HG01121,1
HG01122,1
HG01124,1
HG01125,1
HG01130,0
HG01131,0
HG01133,1
HG01134,1
HG01136,1
HG01137,1
HG01139,0
HG01140,0
HG01142,1
HG01148,0
HG01149,1
HG01161,1
HG01162,0
HG01164,1
HG01167,0
HG01168,1
HG01170,1
HG01171,1
HG01173,1
HG01174,0
HG01176,0
HG01177,0
HG01182,1
HG01183,1
HG01187,0
HG01188,0
HG01190,0
HG01191,1
HG01197,0
HG01198,0
HG01200,0
HG01204,0
HG01205,0
HG01241,0
HG01242,0
HG01247,1
HG01248,1
HG01250,0
HG01251,0
HG01253,1
HG01254,1
HG01256,0
HG01257,0
HG01259,1
HG01260,1
HG01269,0
HG01271,0
HG01272,1
HG01275,1
HG01277,0
HG01280,1
HG01281,0
HG01284,1
HG01286,0
HG01302,0
HG01303,0
HG01305,0
HG01308,1
HG01311,1
HG01312,1
HG01323,0
HG01325,0
HG01326,1
HG01334,1
HG01341,1
HG01342,1
HG01344,1
HG01345,1
HG01348,1
HG01350,1
HG01351,0
HG01353,0
HG01354,0
HG01356,0
HG01357,1
HG01359,0
HG01360,0
HG01362,1
HG01363,0
HG01365,0
HG01366,0
HG01369,1
HG01372,0
HG01374,1
HG01375,0
HG01377,0
HG01378,0
HG01383,1
HG01384,0
HG01389,0
HG01390,1
HG01392,1
HG01393,0
HG01395,0
HG01396,1
HG01398,1
HG01402,0
HG01403,1
HG01405,0
HG01412,1
HG01413,0
HG01414,0
HG01431,1
HG01432,1
HG01435,0
HG01437,0
HG01438,0
HG01440,0
HG01441,0
HG01443,0
HG01444,1
HG01447,0
HG01455,0
HG01456,0
HG01459,1
HG01461,1
HG01462,1
HG01464,0
HG01465,1
HG01468,1
HG01474,1
HG01479,0
HG01485,0
HG01486,0
HG01488,1
HG01489,0
HG01491,1
HG01492,1
HG01494,1
HG01495,1
HG01497,1
HG01498,1
HG01500,1
HG01501,0
HG01503,0
HG01504,1
HG01506,1
HG01507,1
HG01509,1
HG01510,1
HG01512,0
HG01513,1
HG01515,0
HG01516,0
HG01518,0
HG01519,1
HG01521,1
HG01522,0
HG01524,0
HG01525,1
HG01527,0
HG01528,1
HG01530,0
HG01531,1
HG01536,1
HG01537,0
HG01550,1
HG01551,0
HG01556,1
HG01565,1
HG01566,0
HG01571,0
HG01572,1
HG01577,0
HG01578,1
HG01583,1
HG01586,1
HG01589,1
HG01593,0
HG01595,0
HG01596,0
HG01597,0
HG01598,1
HG01599,1
HG01600,0
HG01602,1
HG01603,1
HG01605,0
HG01606,1
HG01607,0
HG01608,1
HG01610,1
HG01612,0
HG01613,0
HG01615,1
HG01617,0
HG01618,1
HG01619,0
HG01620,0
HG01623,0
HG01624,0
HG01625,0
HG01626,1
HG01628,1
HG01630,0
HG01631,0
HG01632,0
HG01668,1
HG01669,1
HG01670,1
HG01672,1
HG01673,1
HG01675,1
HG01676,1
HG01678,0
HG01679,1
HG01680,0
HG01682,1
HG01684,1
HG01685,0
HG01686,0
HG01694,1
HG01695,0
HG01697,0
HG01699,0
HG01700,1
HG01702,1
HG01704,0
HG01705,1
HG01707,1
HG01708,0
HG01709,0
HG01710,1
HG01746,0
HG01747,0
HG01756,0
HG01757,0
HG01761,1
HG01762,1
HG01765,1
HG01766,1
HG01767,1
HG01768,0
HG01770,1
HG01771,1
HG01773,1
HG01775,1
HG01776,1
HG01777,1
HG01779,1
HG01781,1
HG01783,1
HG01784,0
HG01785,0
HG01786,1
HG01789,0
HG01790,1
HG01791,1
HG01794,0
HG01795,1
HG01796,0
HG01797,0
HG01798,1
HG01799,0
HG01800,0
HG01801,1
HG01802,1
HG01804,0
