sample,lbl
HG00096,0
HG00097,0
HG00099,1
HG00100,0
HG00101,1
HG00102,1
HG00103,1
HG00105,0
HG00106,1
HG00107,1
HG00108,0
HG00109,0
HG00110,0
HG00111,1
HG00112,0
HG00113,0
HG00114,1
HG00115,0
HG00116,0
HG00117,0
HG00118,0
HG00119,0
HG00120,0
HG00121,1
HG00122,1
HG00123,1
HG00125,0
HG00126,0
HG00127,0
HG00128,0
HG00129,0
HG00130,0
HG00131,0
HG00132,1
HG00133,0
HG00136,0
HG00137,0
HG00138,0
HG00139,0
HG00140,1
HG00141,1
HG00142,0
HG00143,1
HG00145,1
HG00146,1
HG00148,0
HG00149,1
HG00150,1
HG00151,1
HG00154,1
HG00155,1
HG00157,1
HG00158,1
HG00159,0
HG00160,1
HG00171,1
HG00173,1
HG00174,0
HG00176,1
HG00177,0
HG00178,1
HG00179,1
HG00180,1
HG00181,0
HG00182,1
HG00183,0
HG00185,0
HG00186,0
HG00187,1
HG00188,0
HG00189,0
HG00190,0
HG00231,1
HG00232,0
HG00233,1
HG00234,0
HG00235,1
HG00236,1
HG00237,1
HG00238,1
HG00239,1
HG00240,0
HG00242,0
HG00243,0
HG00244,1
HG00245,1
HG00246,0
HG00250,1
HG00251,1
HG00252,1
HG00253,1
HG00254,0
HG00255,1
HG00256,1
HG00257,1
HG00258,1
HG00259,1
HG00260,1
HG00261,0
HG00262,0
HG00263,0
HG00264,0
HG00265,1
HG00266,0
HG00267,1
HG00268,0
HG00269,0
HG00271,1
HG00272,1
HG00273,0
HG00274,1
HG00275,0
HG00276,1
HG00277,0
HG00278,0
HG00280,0
HG00281,0
HG00282,0
HG00284,1
HG00285,0
HG00288,0
HG00290,1
HG00304,0
HG00306,1
HG00308,0
HG00309,1
HG00310,0
HG00311,0
HG00313,1
HG00315,0
HG00318,0
HG00319,1
HG00320,0
HG00321,0
HG00323,0
HG00324,0
HG00325,1
HG00326,1
HG00327,1
HG00328,0
HG00329,0
HG00330,1
HG00331,1
HG00332,1
HG00334,0
HG00335,0
HG00336,0
HG00337,1
HG00338,0
HG00339,1
HG00341,1
HG00342,0
HG00343,0
HG00344,1
HG00345,0
HG00346,1
HG00349,0
HG00350,0
HG00351,0
HG00353,0
HG00355,1
HG00356,0
HG00357,1
HG00358,0
HG00360,1
HG00361,0
HG00362,0
HG00364,0
HG00365,0
HG00366,0
HG00367,1
HG00368,0
HG00369,1
HG00371,1
HG00372,1
HG00373,0
HG00375,0
HG00376,1
HG00378,0
