sample,lbl
HG00096,1
HG00097,0
HG00099,0
HG00100,0
HG00101,1
HG00102,1
HG00103,1
HG00105,1
HG00106,1
HG00107,0
HG00108,1
HG00109,1
HG00110,0
HG00111,0
HG00112,1
HG00113,0
HG00114,0
HG00115,1
HG00116,1
HG00117,0
HG00118,1
HG00119,1
HG00120,1
HG00121,0
HG00122,1
HG00123,0
HG00125,0
HG00126,1
HG00127,1
HG00128,0
HG00129,1
HG00130,0
HG00131,0
HG00132,1
HG00133,0
HG00136,0
HG00137,1
HG00138,1
HG00139,0
HG00140,1
HG00141,1
HG00142,0
HG00143,0
HG00145,0
HG00146,1
HG00148,1
HG00149,0
HG00150,1
HG00151,0
HG00154,0
HG00155,0
HG00157,0
HG00158,1
HG00159,0
HG00160,0
HG00171,0
HG00173,1
HG00174,1
HG00176,1
HG00177,1
HG00178,1
HG00179,0
HG00180,0
HG00181,0
HG00182,1
HG00183,0
HG00185,1
HG00186,1
HG00187,0
HG00188,1
HG00189,0
HG00190,1
HG00231,0
HG00232,0
HG00233,1
HG00234,0
HG00235,0
HG00236,1
HG00237,0
HG00238,1
HG00239,1
HG00240,1
HG00242,0
HG00243,1
HG00244,1
HG00245,1
HG00246,1
HG00250,1
HG00251,1
HG00252,0
HG00253,1
HG00254,0
HG00255,0
HG00256,1
HG00257,1
HG00258,0
HG00259,1
HG00260,0
HG00261,1
HG00262,1
HG00263,0
HG00264,0
HG00265,0
HG00266,1
HG00267,0
HG00268,1
HG00269,0
HG00271,1
HG00272,1
HG00273,1
HG00274,1
HG00275,1
HG00276,1
HG00277,0
HG00278,1
HG00280,0
HG00281,1
HG00282,1
HG00284,0
HG00285,0
HG00288,0
HG00290,1
HG00304,1
HG00306,1
HG00308,1
HG00309,1
HG00310,0
HG00311,1
HG00313,0
HG00315,1
HG00318,1
HG00319,0
HG00320,1
HG00321,1
HG00323,1
HG00324,0
HG00325,1
HG00326,0
HG00327,0
HG00328,0
HG00329,1
HG00330,1
HG00331,1
HG00332,1
HG00334,1
HG00335,0
HG00336,1
HG00337,0
HG00338,0
HG00339,1
HG00341,0
HG00342,0
HG00343,1
HG00344,1
HG00345,0
HG00346,1
HG00349,0
HG00350,1
HG00351,0
HG00353,0
HG00355,0
HG00356,0
HG00357,0
HG00358,1
HG00360,1
HG00361,0
HG00362,1
HG00364,0
HG00365,1
HG00366,1
HG00367,0
HG00368,0
HG00369,1
HG00371,1
HG00372,0
HG00373,1
HG00375,1
HG00376,0
HG00378,0
HG00379,1
HG00380,0
HG00381,1
HG00382,0
HG00383,0
HG00384,0
HG00403,0
HG00404,0
HG00406,1
HG00407,0
HG00409,0
HG00410,0
HG00419,0
HG00421,0
HG00422,0
HG00428,0
HG00436,0
HG00437,0
HG00442,1
HG00443,1
HG00445,1
HG00446,0
HG00448,1
HG00449,0
HG00451,1
HG00452,1
HG00457,0
HG00458,0
HG00463,1
HG00464,1
HG00472,0
HG00473,0
HG00475,0
HG00476,0
HG00478,0
HG00479,1
HG00500,1
HG00513,0
HG00524,0
HG00525,0
HG00530,0
HG00531,0
HG00533,1
HG00534,1
HG00536,1
HG00537,0
HG00542,1
HG00543,0
HG00551,0
HG00553,1
HG00554,0
HG00556,1
HG00557,1
HG00559,1
HG00560,0
HG00565,1
HG00566,0
HG00580,1
HG00581,0
HG00583,0
HG00584,0
HG00589,0
HG00590,1
HG00592,0
HG00593,1
HG00595,1
HG00596,0
HG00598,0
HG00599,1
HG00607,1
HG00608,0
HG00610,0
HG00611,0
HG00613,0
HG00614,0
HG00619,0
HG00620,1
HG00622,0
HG00623,1
HG00625,0
HG00626,0
HG00628,0
HG00629,0
HG00631,0
HG00632,0
HG00634,1
HG00637,0
HG00638,0
HG00640,1
HG00641,1
HG00650,0
HG00651,0
HG00653,1
HG00654,0
HG00656,0
HG00657,0
HG00662,0
HG00663,1
HG00671,1
HG00672,1
HG00674,0
HG00675,0
HG00683,0
HG00684,0
HG00689,1
HG00690,1
HG00692,0
HG00693,0
HG00698,1
HG00699,1
HG00701,0
HG00704,0
HG00705,0
HG00707,0
HG00708,0
HG00717,0
HG00728,0
HG00729,1
HG00731,0
HG00732,0
HG00734,0
HG00736,1
HG00737,1
HG00739,0
HG00740,0
HG00742,1
HG00743,1
HG00759,1
HG00766,0
HG00844,0
HG00851,0
HG00864,0
HG00867,0
HG00879,0
HG00881,0
HG00956,1
HG00978,1
HG00982,0
HG01028,0
HG01029,0
HG01031,0
HG01046,0
HG01047,1
HG01048,0
HG01049,1
HG01051,1
HG01052,1
HG01054,1
HG01055,0
HG01058,1
HG01060,1
HG01061,0
HG01063,1
HG01064,0
HG01066,1
HG01067,1
HG01069,0
HG01070,1
HG01072,1
HG01073,1
HG01075,0
HG01077,0
HG01079,1
HG01080,1
HG01082,0
HG01083,0
HG01085,1
HG01086,1
HG01088,1
HG01089,0
HG01092,0
HG01094,1
HG01095,0
HG01097,1
HG01098,1
HG01101,1
HG01102,1
HG01104,1
HG01105,1
HG01107,1
HG01108,0
HG01110,1
HG01111,0
HG01112,0
HG01113,0
HG01119,1
HG01121,1
HG01122,0
HG01124,0
HG01125,0
HG01130,0
HG01131,1
HG01133,0
HG01134,0
HG01136,0
HG01137,0
HG01139,1
HG01140,0
HG01142,1
HG01148,1
HG01149,1
HG01161,1
HG01162,1
HG01164,0
HG01167,0
HG01168,0
HG01170,0
HG01171,0
HG01173,0
HG01174,1
HG01176,1
HG01177,0
HG01182,0
HG01183,1
HG01187,1
HG01188,1
HG01190,1
HG01191,1
HG01197,0
HG01198,1
HG01200,1
HG01204,1
HG01205,1
HG01241,1
HG01242,1
HG01247,1
HG01248,1
HG01250,1
HG01251,0
HG01253,0
HG01254,1
HG01256,1
HG01257,1
HG01259,0
HG01260,1
HG01269,0
HG01271,0
HG01272,0
HG01275,1
HG01277,0
HG01280,1
HG01281,0
HG01284,0
HG01286,0
HG01302,0
HG01303,0
HG01305,0
HG01308,1
HG01311,1
HG01312,1
HG01323,0
HG01325,1
HG01326,0
HG01334,1
HG01341,0
HG01342,0
HG01344,1
HG01345,0
HG01348,0
HG01350,1
HG01351,1
HG01353,1
HG01354,0
HG01356,0
HG01357,0
HG01359,1
HG01360,0
HG01362,0
HG01363,0
HG01365,1
HG01366,0
HG01369,1
HG01372,1
HG01374,0
HG01375,0
HG01377,1
HG01378,0
HG01383,0
HG01384,1
HG01389,1
HG01390,0
HG01392,0
HG01393,1
HG01395,1
HG01396,1
HG01398,1
HG01402,0
HG01403,1
HG01405,0
HG01412,1
HG01413,0
HG01414,1
HG01431,1
HG01432,1
HG01435,0
HG01437,1
HG01438,1
HG01440,1
HG01441,0
HG01443,0
HG01444,0
HG01447,1
HG01455,0
HG01456,0
HG01459,0
HG01461,0
HG01462,1
HG01464,1
HG01465,1
HG01468,1
HG01474,1
HG01479,1
HG01485,1
HG01486,1
HG01488,1
HG01489,1
HG01491,0
HG01492,0
HG01494,1
HG01495,0
HG01497,0
HG01498,0
HG01500,1
HG01501,0
HG01503,0
HG01504,1
HG01506,0
HG01507,1
HG01509,1
HG01510,1
HG01512,1
HG01513,1
HG01515,0
HG01516,1
HG01518,1
HG01519,0
HG01521,1
HG01522,0
HG01524,1
HG01525,1
HG01527,1
HG01528,0
HG01530,1
HG01531,0
HG01536,0
HG01537,0
HG01550,0
HG01551,1
HG01556,1
HG01565,0
HG01566,0
HG01571,0
HG01572,0
HG01577,1
HG01578,0
HG01583,1
HG01586,1
HG01589,1
HG01593,1
HG01595,1
HG01596,1
HG01597,0
HG01598,1
HG01599,0
HG01600,0
HG01602,1
HG01603,1
HG01605,1
HG01606,0
HG01607,0
HG01608,1
HG01610,1
HG01612,0
HG01613,1
HG01615,0
HG01617,1
HG01618,1
HG01619,1
HG01620,1
HG01623,0
HG01624,1
HG01625,0
HG01626,0
HG01628,0
HG01630,0
HG01631,0
HG01632,1
HG01668,1
HG01669,1
HG01670,1
HG01672,1
HG01673,0
HG01675,0
HG01676,0
HG01678,1
HG01679,1
HG01680,0
HG01682,1
HG01684,1
HG01685,0
HG01686,1
HG01694,1
HG01695,0
HG01697,1
HG01699,0
HG01700,0
HG01702,1
HG01704,1
HG01705,0
HG01707,1
HG01708,1
HG01709,1
HG01710,1
HG01746,0
HG01747,1
HG01756,1
HG01757,0
HG01761,0
HG01762,1
HG01765,0
HG01766,1
HG01767,1
HG01768,0
HG01770,1
HG01771,1
HG01773,1
HG01775,0
HG01776,1
HG01777,1
HG01779,1
HG01781,1
HG01783,1
HG01784,1
HG01785,0
HG01786,0
HG01789,0
HG01790,1
HG01791,0
HG01794,0
HG01795,0
HG01796,1
HG01797,1
HG01798,0
HG01799,0
HG01800,1
HG01801,1
HG01802,0
HG01804,0
HG01805,1
HG01806,0
HG01807,0
HG01808,1
HG01809,0
HG01810,0
HG01811,1
HG01812,1
HG01813,0
HG01815,1
HG01816,0
HG01817,0
HG01840,0
HG01841,0
HG01842,0
HG01843,0
HG01844,0
HG01845,1
HG01846,0
HG01847,0
HG01848,1
HG01849,0
HG01850,0
HG01851,0
HG01852,1
HG01853,1
HG01855,0
HG01857,0
HG01858,0
HG01859,0
HG01860,1
HG01861,0
HG01862,0
HG01863,1
HG01864,0
HG01865,0
HG01866,1
HG01867,0
HG01868,0
HG01869,0
HG01870,0
HG01871,1
HG01872,1
HG01873,1
HG01874,1
HG01878,1
HG01879,1
HG01880,0
HG01882,1
HG01883,1
HG01885,0
HG01886,0
HG01889,0
HG01890,0
HG01892,1
HG01893,1
HG01894,1
HG01896,1
HG01912,1
HG01914,1
HG01915,0
HG01917,0
HG01918,0
HG01920,0
HG01921,0
HG01923,0
HG01924,0
HG01926,1
HG01927,0
HG01932,1
HG01933,1
HG01935,0
HG01936,1
HG01938,1
HG01939,0
HG01941,0
HG01942,0
HG01944,0
HG01945,0
HG01947,0
HG01948,0
HG01950,0
HG01951,1
HG01953,1
HG01954,1
HG01956,0
HG01958,1
HG01961,1
HG01965,0
HG01967,0
HG01968,1
HG01970,0
HG01971,1
HG01973,0
HG01974,0
HG01976,0
HG01977,1
HG01979,1
HG01980,1
HG01982,0
HG01985,0
HG01986,0
HG01988,1
HG01989,1
HG01990,0
HG01991,0
HG01992,0
HG01997,0
HG02002,1
HG02003,0
HG02006,0
HG02008,0
HG02009,1
HG02010,0
HG02012,0
HG02013,0
HG02014,1
HG02016,0
HG02017,1
HG02019,1
HG02020,0
HG02023,1
HG02025,0
HG02026,0
HG02028,1
HG02029,0
HG02031,0
HG02032,0
HG02035,0
HG02040,0
HG02047,1
HG02048,0
HG02049,1
HG02050,0
HG02051,0
HG02052,0
HG02053,1
HG02054,1
HG02057,1
HG02058,1
HG02060,1
HG02061,0
HG02064,0
HG02067,0
HG02069,0
HG02070,1
HG02072,1
HG02073,0
HG02075,1
HG02076,0
HG02078,0
HG02079,0
HG02081,0
HG02082,0
HG02084,1
HG02085,0
HG02086,1
HG02087,1
HG02088,0
HG02089,0
HG02090,1
HG02095,0
HG02102,0
HG02104,1
HG02105,1
HG02107,0
HG02108,1
HG02111,0
HG02113,0
HG02116,1
HG02121,1
HG02122,0
HG02127,1
HG02128,0
HG02130,0
HG02131,0
HG02133,1
HG02134,0
HG02136,0
HG02137,1
HG02138,0
HG02139,1
HG02140,1
HG02141,0
HG02142,1
HG02143,0
HG02144,1
HG02146,0
HG02147,1
HG02150,0
HG02151,0
HG02152,1
HG02153,1
HG02154,1
HG02155,0
HG02156,0
HG02164,1
HG02165,0
HG02166,0
HG02178,0
HG02179,0
HG02180,0
HG02181,0
HG02182,0
HG02184,0
HG02185,1
HG02186,0
HG02187,1
HG02188,1
HG02190,0
HG02215,0
HG02219,0
HG02220,0
HG02221,1
HG02223,1
HG02224,0
HG02230,1
HG02231,0
HG02232,0
HG02233,0
HG02235,1
HG02236,1
HG02238,0
HG02239,1
HG02250,0
HG02252,1
HG02253,0
HG02255,1
HG02256,1
HG02259,1
HG02260,1
HG02262,0
HG02265,1
HG02266,0
HG02271,0
HG02272,0
HG02274,1
HG02275,0
HG02277,0
HG02278,0
HG02281,0
HG02282,1
HG02283,0
HG02284,0
HG02285,1
HG02286,1
HG02291,0
HG02292,0
HG02298,0
HG02299,0
HG02301,0
HG02304,0
HG02307,1
HG02308,0
HG02309,1
HG02312,0
HG02314,1
HG02315,0
HG02317,1
HG02318,0
HG02322,1
HG02323,0
HG02325,0
HG02330,0
HG02332,0
HG02334,0
HG02337,0
HG02339,1
HG02343,1
HG02345,1
HG02348,0
HG02351,1
HG02353,0
HG02355,1
HG02356,0
HG02360,0
HG02364,1
HG02367,0
HG02371,1
HG02373,1
HG02374,1
HG02375,1
HG02379,0
HG02380,0
HG02382,0
HG02383,1
HG02384,1
HG02385,1
HG02386,1
HG02389,1
HG02390,0
HG02391,0
HG02392,1
HG02394,1
HG02395,0
HG02396,1
HG02397,1
HG02398,0
HG02399,0
HG02401,0
HG02402,1
HG02406,0
HG02407,1
HG02408,1
HG02409,0
HG02410,0
HG02419,0
HG02420,0
HG02425,1
HG02427,1
HG02429,1
HG02433,0
HG02439,1
HG02442,1
HG02445,1
HG02449,0
HG02450,1
HG02455,1
HG02461,1
HG02462,1
HG02464,1
HG02465,1
HG02470,1
HG02471,0
HG02476,0
HG02477,1
HG02479,1
HG02481,1
HG02484,0
HG02485,1
HG02489,1
HG02490,1
HG02491,0
HG02493,0
HG02494,0
HG02496,0
HG02497,1
HG02501,1
HG02502,0
HG02505,0
HG02508,1
HG02511,0
HG02512,0
HG02513,0
